公告日期,分红年度,送股,转增,派息,股权登记日,除权除息日,红股上市日
2015-05-27,2014,--,--,2.70,2015-06-02,2015-06-03,--
2014-07-04,2013,--,--,2.60,2014-07-10,2014-07-11,--
2013-07-04,2012,--,--,2.40,2013-07-10,2013-07-11,--
2012-05-24,2011,0,0,1.00,2012-05-30,2012-05-31,--
2011-07-12,2010,1,0,0.20,2011-07-18,2011-07-19,2011-07-20
2010-09-07,2010,0,0,1.00,2010-09-10,2010-09-13,--
2010-04-29,2009,0,0,1.00,2010-05-05,2010-05-06,--
2009-09-15,2009,0,0,1.00,2009-09-18,2009-09-21,--
2009-05-20,2008,0,0,1.00,2009-05-26,2009-05-27,--
2008-09-19,2008,0,0,1.00,2008-09-24,2008-09-25,--
2008-06-16,2007,0,0,1.50,2008-06-19,2008-06-20,--
