,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,600705,中航资本,0.01,-220.0,3.18,0.37,-1.64,321.03,-222.67,,10-31
1,601901,方正证券,0.05,,2.35,2.34,-1.05,21982.89,,,10-31
2,601169,北京银行,1.25,31.58,7.74,,7.05,777348.3,30.72,,10-31
3,600036,招商银行,1.32,33.33,7.13,19.72,2.85,2838800.0,37.91,,10-29
4,601688,华泰证券,0.24,-45.74,5.91,3.99,-5.62,133219.15,-44.49,,10-29
5,600030,中信证券,0.34,-15.0,6.6,4.92,-2.9,333339.28,-17.15,,10-29
6,601939,建设银行,0.56,19.15,3.12,18.62,-0.29,13901200.0,25.8,,10-29
7,601818,光大银行,0.35,18.64,2.25,16.3,0.55,1413274.0,40.51,,10-29
8,600000,浦发银行,1.07,-17.48,7.48,,2.18,1990992.34,34.19,,10-29
9,601166,兴业银行,1.74,-28.98,9.91,18.87,-8.18,1878800.0,38.19,,10-29
10,601377,兴业证券,0.19,-39.94,3.82,4.88,-4.87,40959.13,-31.09,,10-29
11,601328,交通银行,0.62,10.71,4.16,15.9,0.28,3841600.0,30.06,,10-28
12,002142,宁波银行,0.89,18.67,6.19,,7.46,255669.1,36.15,,10-28
13,601009,南京银行,0.79,2.6,6.88,11.87,3.5,234163.3,28.16,,10-28
14,600643,爱建集团,0.12,168.18,1.63,7.5,-0.21,9662.31,166.57,,10-28
15,601628,中国人寿,0.59,-32.95,6.23,8.6,4.06,1671700.0,-32.98,,10-28
16,600999,招商证券,0.4,-30.43,5.26,,-4.85,185707.92,-9.55,,10-28
17,600016,民生银行,0.8,63.27,4.59,18.79,-0.49,2138600.0,64.42,,10-28
18,600837,海通证券,0.33,0.0,5.45,6.08,-1.95,272859.64,-0.91,,10-28
19,600015,华夏银行,1.09,19.78,8.9,13.27,3.16,653839.32,44.42,,10-28
20,000415,渤海租赁,0.32,-971.12,7.13,3.78,0.42,25882.96,-2446.8,,10-28
21,601398,工商银行,0.47,23.68,2.58,18.8,0.49,16384000.0,28.79,,10-28
22,000750,国海证券,0.05,-157.94,3.7,1.26,-3.66,3237.9,-274.46,,10-28
23,000728,国元证券,0.23,-32.35,7.5,3.1,-0.38,45939.73,-31.82,,10-28
24,601099,太平洋,0.08,-18.18,1.38,6.04,-1.09,12206.28,-17.97,,10-28
25,601988,中国银行,0.35,12.9,2.49,14.36,0.61,9630100.0,21.52,,10-27
26,601318,中国平安,1.88,9.94,15.3,12.64,10.8,1451900.0,13.82,,10-27
27,601288,农业银行,0.31,24.0,1.91,17.25,1.64,10075700.0,43.64,,10-27
28,600291,西水股份,-0.08,-182.14,5.28,-1.38,-0.01,-2893.46,-182.12,,10-27
29,600109,国金证券,0.24,-29.43,3.25,7.51,-2.05,23514.49,-29.48,,10-27
30,600816,安信信托,0.22,25.74,0.94,26.65,-0.22,10025.47,25.73,,10-27
31,601998,中信银行,0.57,29.55,3.62,17.61,-0.53,2422600.0,40.91,,10-27
32,000712,锦龙股份,0.12,-64.93,2.93,4.14,0.1,3692.76,-64.91,,10-26
33,000001,平安银行,2.01,37.67,13.61,17.64,3.49,768718.2,62.38,,10-26
34,002500,山西证券,0.06,-60.0,2.47,2.29,-1.84,13891.9,-54.42,,10-26
35,600369,西南证券,0.09,-55.0,4.82,1.81,-1.52,20161.12,-50.03,,10-25
36,000776,广发证券,0.61,-44.55,10.64,7.53,-10.41,155966.62,-42.99,,10-25
37,600830,香溢融通,0.33,133.1,3.38,10.19,0.02,15025.7,132.52,,10-25
38,601788,光大证券,0.4,-2.44,6.34,6.07,-4.55,137493.53,-1.13,,10-25
39,000686,东北证券,-0.03,-105.77,5.11,-0.55,-7.92,-1840.96,-105.58,,10-24
40,000783,长江证券,0.14,-68.18,4.8,3.01,-4.26,33018.57,-65.05,,10-21
41,000563,陕国投A,0.31,148.1,2.25,14.21,-0.15,11000.2,148.15,,10-19
42,601601,中国太保,0.82,43.86,8.68,9.0,5.27,701800.0,43.08,,10-19
